Objet ,Visite des lieux ,Soumission électronique ,Secteur ,Téléchargement,Ville d'exécution ,Adresse retrait ,Allotissement ,Contact ,Budget ,Mode paiement ,Obsérvation ,Support,Domaine ,Type ,Organisme ,Montant retrait ,Mt caution 
Acquisition et mise en place d'une solution hypercorrection pour le compte du chu souss massa (lot unique),--- | Télécharger D.A.O,Oui Cliquer ici,,https://global-marches.com/downoaldcps/1488286.zip,- Agadir,,,EL MEHDI KERBID - Téléphone: 0661585952 - Email: mkerbid@gmail.com - Télécopieur: 0528820041,"3.059.040,00 MAD | ", | ---,estimation en dh ttc,"SUPPORT DU PAGE/COLONNE
Liberation 25/08/2025 17/01 | Liberation | 25/08/2025 | 17/01",,International,Centres hospitaliers de la region de souss-massa /Centre hospitalo-universitaire souss massa, | ---,"45.000,00 MAD | ---"
"l’achevement des travaux de construction d’une mosquée et ses dépendances a l’universite de chenguite en mauritanie, en lot unique.",--- | Télécharger D.A.O,,"Secteur Qualification Classe
A A2 2 | A | A2 | 2",https://global-marches.com/downoaldcps/1488283.zip,- Ville etrangere,"service des marchés des travaux et de fournitures de la direction des mosquées du Ministère des Habous et des Affaires Islamiques – Mechouar Essaîd, Rabat",,JAWAHIR ABOURACHID - Téléphone: 05.37.66.86.77 - Email: jawahir.mhai@gmail.com - Télécopieur: 05.37.66.86.16, | , | ---,av 1: certificat d'agrément et de qualification mentionné au niveau de RC,"SUPPORT DU PAGE/COLONNE
SITE WEB 25/08/2025 01/01 | SITE WEB | 25/08/2025 | 01/01",,National,Ministère des Habous et des Affaires islamiques /Direction des Mosquées, | ---,"294.000,00 MAD | ---"
"Achat des plaques d’énergie solaire pour les stations de pompage d’eau potable aux douars : AIT HROUK, TIN KHAZAZ et AIT DAOUD à la commune OUED ESSAFA Province Chtouka Ait Baha.",--- | Télécharger D.A.O,Oui Cliquer ici,,https://global-marches.com/downoaldcps/1488280.zip,- Chtouka ait baha,Au bureau de Président de la Commune Territoriale Oued Essafa (Service Des marchés) .,,BERYAN MOHAMED - Téléphone: 0528818012 - Email: ouedessafa@gmail.com - Télécopieur: champsvide,"419.940,00 MAD | ", | ---,budget en TTC,"SUPPORT DU PAGE/COLONNE
Liberation 25/08/2025 17/05
SITE WEB 25/08/2025 01/01 | Liberation | 25/08/2025 | 17/05 | SITE WEB | 25/08/2025 | 01/01",,National,Region de souss-massa / Commune de OUED ESSAFA, | ---,"7.000,00 MAD | ---"
"l’études techniques et suivi des travaux d’aménagement du complexe central du Centre Régional De La Recherche Agronomique De Rabat, en lot unique.",--- | Télécharger D.A.O,Oui Cliquer ici,,https://global-marches.com/downoaldcps/1488279.zip,- Rabat,,,MOHAMMED EZZIKOURI - Téléphone: 0537675539 - Email: mohammed.ezzikouri@inra.ma - Télécopieur: 0537775530,"350.000,00 MAD | ", | ---,budget en ttc,"SUPPORT DU PAGE/COLONNE
Liberation 25/08/2025 18/05
Le matin 25/08/2025 01/01 | Liberation | 25/08/2025 | 18/05 | Le matin | 25/08/2025 | 01/01",,National,centre regional de la recherche agronomique /Centre Régional de la Recherche Agronomique de Rabat, | ---,"6.500,00 MAD | ---"
la réalisation d’un audit de conformité de la sécurité du système d’information de l’Agence Marocaine de Sûreté et de Sécurité Nucléaires et Radiologiques (AMSSNuR) par rapport à la loi n°05-20 relative à la cybersécurité et à la directive nationale de la sécurité des systèmes d’information (DNSSI).,--- | Télécharger D.A.O,Oui Cliquer ici,,https://global-marches.com/downoaldcps/1488278.zip,- Rabat,,,HAMID BAMMOU - Téléphone: 0661065994 - Email: h.bammou@amssnur.org.ma - Télécopieur: +212 537 688 737,"200.000,00 MAD | ", | ---,budget en TTC,"SUPPORT DU PAGE/COLONNE
SITE WEB 25/08/2025 01/01 | SITE WEB | 25/08/2025 | 01/01",,National,agence marocaine de surete et de securite nucleaire et radiologique, | ---,"4.000,00 MAD | ---"
Realisation des essais de controle et suivi de la qualite des travaux de collecte des eaux pluviales des toitures des ecoles rurales dans la province de chefchaouen.,--- | Télécharger D.A.O,Oui Cliquer ici,"Secteur Qualification Classe
EG : etudes geotechnique EG5 3
CQ : controle de qualité CQ7 3
CQ : controle de qualité CQ3 3 | EG : etudes geotechnique | EG5 | 3 | CQ : controle de qualité | CQ7 | 3 | CQ : controle de qualité | CQ3 | 3",https://global-marches.com/downoaldcps/1488276.zip,- Chefchaouen,,,-- -- - Téléphone: -- - Email: dpetlecbm@gmail.com - Télécopieur: 0539986778,"119.700,00 MAD | ", | ---,"budget en TTC // Réservé aux très petites, petites et moyennes entreprises la coopératives et auto-entrepreneurs","SUPPORT DU PAGE/COLONNE
Le matin 25/08/2025 18/05 | Le matin | 25/08/2025 | 18/05",,Appel d'offre resérvé au pme nationales,"ministere  de l’equipement et de l’eau / Direction provinciale de l'equipement, du transport et de la logistique de chefchaouen", | ---,"1.800,00 MAD | ---"
AO simplifié : Travaux de câblage du réseau informatique au siège de la Direction Provinciale de l’Agriculture d’Azilal.,--- | Télécharger D.A.O,Oui Cliquer ici,,https://global-marches.com/downoaldcps/1488275.zip,- Azilal,,,MUSTAPHA ROUHI - Téléphone: 0657831899 - Email: rohimostafa@yahoo.fr - Télécopieur: 0523458035,"31.920,00 MAD | ", | ---,"Réservé aux très petites, petites et moyennes entreprises, aux coopératives, aux unions de coopératives et aux auto– entrepreneurs","SUPPORT DU PAGE/COLONNE
SITE WEB 25/08/2025 01/01 | SITE WEB | 25/08/2025 | 01/01",,Appel d'offre resérvé au pme nationales,"Ministere de l Agriculture, de la Peche Maritime, du Developpement Rural et des Eaux et Forets /Direction Provinciale de l’Agriculture d’Azilal", | ---,"600,00 MAD | ---"
"la consultation architecturale ouverte pour l’études architecturales et suivi des travaux d’aménagement du Centre de la Recherche Agronomique de Rabat, en lot unique.",11/09/2025 11:00 | Télécharger D.A.O,,,https://global-marches.com/downoaldcps/1488274.zip,- Rabat,,,MOHAMMED EZZIKOURI - Téléphone: 0537675539 - Email: mohammed.ezzikouri@inra.ma - Télécopieur: 0537775530,"12.709.000,00 MAD | ", | ---,,"SUPPORT DU PAGE/COLONNE
Liberation 25/08/2025 18/04
Le matin 25/08/2025 19/002 | Liberation | 25/08/2025 | 18/04 | Le matin | 25/08/2025 | 19/002",,National,centre regional de la recherche agronomique, | ---, | ---
Travaux de collecte des eaux pluviales des toitures des écoles rurales dans la province de chefchaouen.,--- | Télécharger D.A.O,Oui Cliquer ici,"Secteur Qualification Classe
C C3 4
C C1 4
A A6 4 | C | C3 | 4 | C | C1 | 4 | A | A6 | 4",https://global-marches.com/downoaldcps/1488273.zip,- Chefchaouen,,,-- -- - Téléphone: -- - Email: dpetlecbm@gmail.com - Télécopieur: 0539986778,"1.902.540,00 MAD | ", | ---,budget en TTC,"SUPPORT DU PAGE/COLONNE
Le matin 25/08/2025 18/05 | Le matin | 25/08/2025 | 18/05",,National,"ministere  de l’equipement et de l’eau / Direction provinciale de l'equipement, du transport et de la logistique de chefchaouen", | ---,"30.000,00 MAD | ---"
Travaux de genie civil et d'equipement en materiel de pompage pour l'approvisionnement en eau potable dans des communes rurales relevant de la province de chefchaouen.,--- | Télécharger D.A.O,Oui Cliquer ici,"Secteur Qualification Classe
A A6 4
C C1 3 | A | A6 | 4 | C | C1 | 3",https://global-marches.com/downoaldcps/1488271.zip,- Chefchaouen,,,Email: dpetlecbm@gmail.com - Télécopieur: 0539986778,"3.301.890,00 MAD | ", | ---,"budget en ttc // Réservé aux très petites, petites et moyennes entreprise la coopératives , et aux auto-entrepreneurs""","SUPPORT DU PAGE/COLONNE
Le matin 25/08/2025 18/05 | Le matin | 25/08/2025 | 18/05",,Appel d'offre resérvé au pme nationales,"ministere  de l’equipement et de l’eau / Direction provinciale de l'equipement, du transport et de la logistique de chefchaouen", | ---,"53.000,00 MAD | ---"
Étude d'élargissement et de renforcement de la rr 304 du pk 94+000 au pk 110+700 (province de fquih ben salah),--- | Télécharger D.A.O,Oui Cliquer ici,,https://global-marches.com/downoaldcps/1488269.zip,- Fquih ben salah,,,IKRAME EL-HAMRI - Téléphone: 0648348108 - Email: hamriikrame2003@gmail.com - Télécopieur: 0523481606,"200.400,00 MAD | ", | ---,av 1 : les agréments mentionnée au niveau de RC,"SUPPORT DU PAGE/COLONNE
Le matin 25/08/2025 18/05
SITE WEB 25/08/2025 01/01 | Le matin | 25/08/2025 | 18/05 | SITE WEB | 25/08/2025 | 01/01","AGRÉMENTS
D4 | D4",National,"ministere  de l’equipement et de l’eau / Direction provinciale de l'equipement, du transport et de la logistique de beni mellal", | ---,"4.000,00 MAD | ---"
Appel d'offres ouvert a majoration : travaux d’entretien et maintenance des espaces verts a la commune de tarfaya,--- | Télécharger D.A.O,Oui Cliquer ici,,https://global-marches.com/downoaldcps/1488267.zip,- Tarfaya,service des marches de la commune de tarfaya.,,HARTOUN ABDELHAY - Téléphone: 0661146522 - Email: saaidbella1966@gmail.com - Télécopieur: 0528895269,"732.000,00 MAD | ", | ---,budget en TTC + Les concurrents doivent obligatoirement déposer leurs plis par voie électronique,"SUPPORT DU PAGE/COLONNE
SITE WEB 25/08/2025 01/01
Le matin 25/08/2025 19/004 | SITE WEB | 25/08/2025 | 01/01 | Le matin | 25/08/2025 | 19/004",,National,Region de laayoune- saguia al hamra / Commune urbaine de TARFAYA, | ---,"12.000,00 MAD | ---"
