Secteur ,Mode paiement ,Support,Budget ,Visite des lieux ,Type ,Allotissement ,Mt caution ,Organisme ,Obsérvation ,Téléchargement,Contact ,Montant retrait ,Soumission électronique ,Ville d'exécution ,Domaine ,Objet ,Adresse retrait 
, | ---,"SUPPORT DU PAGE/COLONNE
Liberation 25/08/2025 18/05
Le matin 25/08/2025 01/01 | Liberation | 25/08/2025 | 18/05 | Le matin | 25/08/2025 | 01/01","350.000,00 MAD | ",--- | Télécharger D.A.O,National,,"6.500,00 MAD | ---",centre regional de la recherche agronomique /Centre Régional de la Recherche Agronomique de Rabat,budget en ttc,https://global-marches.com/downoaldcps/1488279.zip,MOHAMMED EZZIKOURI - Téléphone: 0537675539 - Email: mohammed.ezzikouri@inra.ma - Télécopieur: 0537775530, | ---,Oui Cliquer ici,- Rabat,,"l’études techniques et suivi des travaux d’aménagement du complexe central du Centre Régional De La Recherche Agronomique De Rabat, en lot unique.",
, | ---,"SUPPORT DU PAGE/COLONNE
SITE WEB 25/08/2025 01/01 | SITE WEB | 25/08/2025 | 01/01","200.000,00 MAD | ",--- | Télécharger D.A.O,National,,"4.000,00 MAD | ---",agence marocaine de surete et de securite nucleaire et radiologique,budget en TTC,https://global-marches.com/downoaldcps/1488278.zip,HAMID BAMMOU - Téléphone: 0661065994 - Email: h.bammou@amssnur.org.ma - Télécopieur: +212 537 688 737, | ---,Oui Cliquer ici,- Rabat,,la réalisation d’un audit de conformité de la sécurité du système d’information de l’Agence Marocaine de Sûreté et de Sécurité Nucléaires et Radiologiques (AMSSNuR) par rapport à la loi n°05-20 relative à la cybersécurité et à la directive nationale de la sécurité des systèmes d’information (DNSSI).,
"Secteur Qualification Classe
EG : etudes geotechnique EG5 3
CQ : controle de qualité CQ7 3
CQ : controle de qualité CQ3 3 | EG : etudes geotechnique | EG5 | 3 | CQ : controle de qualité | CQ7 | 3 | CQ : controle de qualité | CQ3 | 3", | ---,"SUPPORT DU PAGE/COLONNE
Le matin 25/08/2025 18/05 | Le matin | 25/08/2025 | 18/05","119.700,00 MAD | ",--- | Télécharger D.A.O,Appel d'offre resérvé au pme nationales,,"1.800,00 MAD | ---","ministere  de l’equipement et de l’eau / Direction provinciale de l'equipement, du transport et de la logistique de chefchaouen","budget en TTC // Réservé aux très petites, petites et moyennes entreprises la coopératives et auto-entrepreneurs",https://global-marches.com/downoaldcps/1488276.zip,-- -- - Téléphone: -- - Email: dpetlecbm@gmail.com - Télécopieur: 0539986778, | ---,Oui Cliquer ici,- Chefchaouen,,Realisation des essais de controle et suivi de la qualite des travaux de collecte des eaux pluviales des toitures des ecoles rurales dans la province de chefchaouen.,
, | ---,"SUPPORT DU PAGE/COLONNE
SITE WEB 25/08/2025 01/01 | SITE WEB | 25/08/2025 | 01/01","31.920,00 MAD | ",--- | Télécharger D.A.O,Appel d'offre resérvé au pme nationales,,"600,00 MAD | ---","Ministere de l Agriculture, de la Peche Maritime, du Developpement Rural et des Eaux et Forets /Direction Provinciale de l’Agriculture d’Azilal","Réservé aux très petites, petites et moyennes entreprises, aux coopératives, aux unions de coopératives et aux auto– entrepreneurs",https://global-marches.com/downoaldcps/1488275.zip,MUSTAPHA ROUHI - Téléphone: 0657831899 - Email: rohimostafa@yahoo.fr - Télécopieur: 0523458035, | ---,Oui Cliquer ici,- Azilal,,AO simplifié : Travaux de câblage du réseau informatique au siège de la Direction Provinciale de l’Agriculture d’Azilal.,
, | ---,"SUPPORT DU PAGE/COLONNE
Liberation 25/08/2025 18/04
Le matin 25/08/2025 19/002 | Liberation | 25/08/2025 | 18/04 | Le matin | 25/08/2025 | 19/002","12.709.000,00 MAD | ",11/09/2025 11:00 | Télécharger D.A.O,National,, | ---,centre regional de la recherche agronomique,,https://global-marches.com/downoaldcps/1488274.zip,MOHAMMED EZZIKOURI - Téléphone: 0537675539 - Email: mohammed.ezzikouri@inra.ma - Télécopieur: 0537775530, | ---,,- Rabat,,"la consultation architecturale ouverte pour l’études architecturales et suivi des travaux d’aménagement du Centre de la Recherche Agronomique de Rabat, en lot unique.",
"Secteur Qualification Classe
C C3 4
C C1 4
A A6 4 | C | C3 | 4 | C | C1 | 4 | A | A6 | 4", | ---,"SUPPORT DU PAGE/COLONNE
Le matin 25/08/2025 18/05 | Le matin | 25/08/2025 | 18/05","1.902.540,00 MAD | ",--- | Télécharger D.A.O,National,,"30.000,00 MAD | ---","ministere  de l’equipement et de l’eau / Direction provinciale de l'equipement, du transport et de la logistique de chefchaouen",budget en TTC,https://global-marches.com/downoaldcps/1488273.zip,-- -- - Téléphone: -- - Email: dpetlecbm@gmail.com - Télécopieur: 0539986778, | ---,Oui Cliquer ici,- Chefchaouen,,Travaux de collecte des eaux pluviales des toitures des écoles rurales dans la province de chefchaouen.,
"Secteur Qualification Classe
A A6 4
C C1 3 | A | A6 | 4 | C | C1 | 3", | ---,"SUPPORT DU PAGE/COLONNE
Le matin 25/08/2025 18/05 | Le matin | 25/08/2025 | 18/05","3.301.890,00 MAD | ",--- | Télécharger D.A.O,Appel d'offre resérvé au pme nationales,,"53.000,00 MAD | ---","ministere  de l’equipement et de l’eau / Direction provinciale de l'equipement, du transport et de la logistique de chefchaouen","budget en ttc // Réservé aux très petites, petites et moyennes entreprise la coopératives , et aux auto-entrepreneurs""",https://global-marches.com/downoaldcps/1488271.zip,Email: dpetlecbm@gmail.com - Télécopieur: 0539986778, | ---,Oui Cliquer ici,- Chefchaouen,,Travaux de genie civil et d'equipement en materiel de pompage pour l'approvisionnement en eau potable dans des communes rurales relevant de la province de chefchaouen.,
, | ---,"SUPPORT DU PAGE/COLONNE
Le matin 25/08/2025 18/05
SITE WEB 25/08/2025 01/01 | Le matin | 25/08/2025 | 18/05 | SITE WEB | 25/08/2025 | 01/01","200.400,00 MAD | ",--- | Télécharger D.A.O,National,,"4.000,00 MAD | ---","ministere  de l’equipement et de l’eau / Direction provinciale de l'equipement, du transport et de la logistique de beni mellal",av 1 : les agréments mentionnée au niveau de RC,https://global-marches.com/downoaldcps/1488269.zip,IKRAME EL-HAMRI - Téléphone: 0648348108 - Email: hamriikrame2003@gmail.com - Télécopieur: 0523481606, | ---,Oui Cliquer ici,- Fquih ben salah,"AGRÉMENTS
D4 | D4",Étude d'élargissement et de renforcement de la rr 304 du pk 94+000 au pk 110+700 (province de fquih ben salah),
, | ---,"SUPPORT DU PAGE/COLONNE
SITE WEB 25/08/2025 01/01
Le matin 25/08/2025 19/004 | SITE WEB | 25/08/2025 | 01/01 | Le matin | 25/08/2025 | 19/004","732.000,00 MAD | ",--- | Télécharger D.A.O,National,,"12.000,00 MAD | ---",Region de laayoune- saguia al hamra / Commune urbaine de TARFAYA,budget en TTC + Les concurrents doivent obligatoirement déposer leurs plis par voie électronique,https://global-marches.com/downoaldcps/1488267.zip,HARTOUN ABDELHAY - Téléphone: 0661146522 - Email: saaidbella1966@gmail.com - Télécopieur: 0528895269, | ---,Oui Cliquer ici,- Tarfaya,,Appel d'offres ouvert a majoration : travaux d’entretien et maintenance des espaces verts a la commune de tarfaya,service des marches de la commune de tarfaya.
, | 07/10/2025,"SUPPORT DU PAGE/COLONNE
L'economiste 25/08/2025 18/04
Le matin 25/08/2025 19/002 | L'economiste | 25/08/2025 | 18/04 | Le matin | 25/08/2025 | 19/002","9.000.000,00 MAD | ",--- | Demander D.A.O,International,,"150.000,00 MAD | ---",Protection civile,budget en ttc - Les fiches techniques exigées par le dossier d’appel d’offres doivent être déposées au plus tard le jour ouvrable précédant la date d’ouverture des plis ou remis séance tenante au président de la commission d'ouverture des plis. (heure à vérifier),,, | ---,Oui,- Rabat,,l’acquisition de remorques frigorifiques de campement destinées aux plateformes régionales de réserves de première nécessité (lot unique).,
, | ---,"SUPPORT DU PAGE/COLONNE
Le matin 25/08/2025 18/03 | Le matin | 25/08/2025 | 18/03","1.431.000,00 MAD | ",--- | Demander D.A.O,National,,"25.000,00 MAD | ---",Region de marrakech- safi / Province el kelaa des sraghna,,,, | ---,Oui,- El kelaa sraghna,,"Travaux de creusement de douze(12) puits au douars : laaroj, lhorab; ouled abdelwahd , old abbou 1, old abbou2,old ayoub1,old ayoub2,old driss 1,old driss 2, ouled bourjilate,old masaaoud et laararma de la commune laatamna province kelaa des sraghna",
, | 06/10/2025,"SUPPORT DU PAGE/COLONNE
L'economiste 25/08/2025 18/03
Le matin 25/08/2025 19/02 | L'economiste | 25/08/2025 | 18/03 | Le matin | 25/08/2025 | 19/02","15.000.000,00 MAD | ",--- | Demander D.A.O,International,,"300.000,00 MAD | ---",Protection civile,budget en ttc - Les fiches techniques exigées par le dossier d’appel d’offres doivent être déposées au plus tard le jour ouvrable précédant la date d’ouverture des plis ou remis séance tenante au président de la commission d'ouverture des plis.,,, | ---,Oui,- Rabat,,l’acquisition des unités de pompage destinées aux plateformes régionales de réserves de première nécessité (lot unique).,
